Country Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bermuda,3.9,3.382648714,9.317155577,7.222436009,-1.477790375,3.410706204,2.321266476,1.674207149,5.543865928,2.845890114,1.52789391,-5.284177149,-2.094113534,-3.33949441,-4.834540171,-2.511154431,,
Bolivia,5.029354755,0.426885423,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564383902,6.148497195,3.357001259,4.126722565,5.204092718,5.122274661,6.796011706,5.460569752,3.961728072
Brazil,0.338356177,0.469066589,4.112564911,1.657817967,3.05316092,1.140319046,5.760880726,3.202051527,3.960502029,6.07228369,5.093767012,-0.126147415,7.528797381,3.910255348,1.915458623,3.015140511,0.103371359,-3.847362495
Barbados,3.707742639,0.315457413,4.507337526,-2.407221665,0.822199383,2.140672783,1.397205589,4.035433071,5.676442763,1.700984781,0.440140845,-4.031551271,0.273972603,0.72859745,0.27124774,0,0.180342651,0.99009901
Brunei Darussalam,-0.558508698,3.052156688,2.849421759,2.744040816,3.872097249,2.903955133,0.504318384,0.387506909,4.397720159,0.15458146,-1.939714507,-1.764535725,2.598965911,3.429818477,0.948354662,-1.751960547,-2.339999835,-0.5
Bhutan,5.914030835,7.983972022,6.93302424,8.203773861,10.72784061,7.664334042,5.896408192,7.12255965,6.849365932,17.92582494,4.768354226,6.657223796,11.73085436,7.890913893,5.071709815,2.142496554,5.458817312,3.254254739
Botswana,0.721993155,9.667240742,1.987695854,0.250573867,6.069530868,4.625894792,2.705821737,4.556645657,8.363871069,8.280147493,6.242117247,-7.652310203,8.563631748,6.048316367,4.456466273,9.860292657,3.203915093,-0.254733178
Central African Republic,4.69999386,3.600002931,-2.489450101,4.464782649,3.616488016,-5.397469236,5.994991726,0.908086104,3.639311187,4.607561983,2.054126562,1.709220967,3.046656852,3.300739707,2.898540636,-37.01195691,-1.257108489,5.48645856
Canada,3.881759144,5.1632109,5.182690286,1.770819089,3.010016308,1.802273312,3.085961209,3.201382137,2.623412623,2.06274769,1.000360973,-2.949587643,3.08351422,3.141219001,1.745472283,2.218068188,2.472892638,1.078268751
Central Europe and the Baltics,2.808599955,2.058896413,3.944016833,3.063550845,3.244888749,4.439711389,5.585305438,4.911562022,6.56721374,6.450407729,3.666408627,-3.751650797,1.973125806,3.111007686,0.541375878,1.2727673,2.772204032,3.397822043
